Institution,SNAPSHOT_TERM,Career,Enrollment Measure Title,Term Type,Enrollment Measure Value
WSSU,Fall 2021,*,Student Count,Fall,"5,226"
WCU,Fall 2021,*,Student Count,Fall,"11,877"
UNCSA,Fall 2021,*,Student Count,Fall,"1,119"
UNCW,Fall 2021,*,Student Count,Fall,"18,030"
UNCP,Fall 2021,*,Student Count,Fall,"8,318"
UNCG,Fall 2021,*,Student Count,Fall,"19,038"
UNCC,Fall 2021,*,Student Count,Fall,"30,448"
UNC-CH,Fall 2021,*,Student Count,Fall,"31,641"
UNCA,Fall 2021,Undergraduate,Student Count,Fall,"3,233"
NC State,Fall 2021,*,Student Count,Fall,"36,831"
NCCU,Fall 2021,*,Student Count,Fall,"7,953"
NCA&T,Fall 2021,*,Student Count,Fall,"13,322"
FSU,Fall 2021,*,Student Count,Fall,"6,748"
ECSU,Fall 2021,*,Student Count,Fall,"2,054"
ECU,Fall 2021,*,Student Count,Fall,"28,021"
ASU,Fall 2021,*,Student Count,Fall,"20,641"
WSSU,Fall 2020,*,Student Count,Fall,"5,169"
WCU,Fall 2020,*,Student Count,Fall,"12,243"
UNCSA,Fall 2020,*,Student Count,Fall,"1,070"
UNCW,Fall 2020,*,Student Count,Fall,"17,915"
UNCP,Fall 2020,*,Student Count,Fall,"8,262"
UNCG,Fall 2020,*,Student Count,Fall,"19,764"
UNCC,Fall 2020,*,Student Count,Fall,"30,146"
UNC-CH,Fall 2020,*,Student Count,Fall,"30,092"
UNCA,Fall 2020,*,Student Count,Fall,"3,363"
NC State,Fall 2020,*,Student Count,Fall,"36,042"
NCCU,Fall 2020,*,Student Count,Fall,"8,078"
NCA&T,Fall 2020,*,Student Count,Fall,"12,753"
FSU,Fall 2020,*,Student Count,Fall,"6,726"
ECSU,Fall 2020,*,Student Count,Fall,"2,002"
ECU,Fall 2020,*,Student Count,Fall,"28,798"
ASU,Fall 2020,*,Student Count,Fall,"20,023"
WSSU,Fall 2019,*,Student Count,Fall,"5,121"
WCU,Fall 2019,*,Student Count,Fall,"12,167"
UNCSA,Fall 2019,*,Student Count,Fall,"1,086"
UNCW,Fall 2019,*,Student Count,Fall,"17,499"
UNCP,Fall 2019,*,Student Count,Fall,"7,698"
UNCG,Fall 2019,*,Student Count,Fall,"20,196"
